place,year,name,gender,count
AL,1960,Jill,F,26
RI,1985,Alexandra,F,15
AR,2013,Monica,F,5
MD,1994,Angela,F,89
USA,1942,Si,M,5
NJ,1956,Monique,F,7
RI,1993,Francisco,M,13
CA,2000,Verenice,F,28
ID,1951,Sally,F,31
WA,2006,Drew,F,8
GA,1985,Mickey,M,8
NY,2003,Jenifer,F,22
CO,1988,Jorge,M,12
NC,1918,Artis,M,8
MO,2012,Savanna,F,23
CA,2011,Milan,M,19
CA,1971,Gavin,M,37
SD,1931,Anna,F,39
UT,1993,Kilee,F,5
IN,2014,Isabel,F,31
AK,1987,Derrick,M,5
CA,1944,Dudley,M,11
LA,2005,Jake,M,66
LA,1962,Jacquline,F,14
OR,1958,Kari,F,14
IL,2005,Charlotte,F,107
USA,1988,Earl,F,5
USA,2005,Jennelle,F,10
MD,2013,Joelle,F,11
CT,1948,Francis,M,131
NJ,1955,Sallie,F,5
CT,1999,Eleni,F,5
USA,1937,Shelvy,F,43
MS,1988,Jamarcus,M,19
OK,2017,Heaven,F,9
CO,1982,Grant,M,36
WY,1943,Elaine,F,10
CO,2005,Brenden,M,15
NC,1922,Loyd,M,47
USA,1955,Izell,M,16
USA,2004,Tochi,F,5
VA,1927,Leslie,F,5
USA,1913,Eleonore,F,11
USA,1971,Siri,F,15
MN,1913,Goldie,F,10
NC,1961,Vincent,M,64
USA,1974,Roger,F,15
CA,2008,Evelina,F,13
USA,1928,Duard,M,16
FL,1978,Renae,F,7
NC,1944,Barbara,F,1172
USA,1932,Patricia,M,45
AR,2007,Annabelle,F,23
SD,2009,Vincent,M,11
NM,1940,Jerome,M,7
OH,2001,Josie,F,52
TX,1988,Brett,M,221
NH,2004,Braden,M,11
VA,1927,Sandy,M,6
CA,2009,Yanixan,M,7
USA,1910,Osa,F,5
SC,1966,Kay,F,15
USA,1998,Rayelle,F,8
MI,2007,Princess,F,11
CO,2014,Cristal,F,7
RI,1969,Nicole,F,38
NJ,1943,William,F,5
LA,2002,Imari,F,5
USA,1919,Charlton,M,22
CT,2017,Heaven,F,9
CO,2018,Tyce,M,5
NY,1999,Gurpreet,M,7
NJ,2015,Dominik,M,10
USA,1953,Sue,F,3650
PA,1988,Jeff,M,7
SD,1912,Vivian,F,19
MD,2015,Jade,F,37
ND,1915,Gustav,M,5
FL,2018,Larry,M,23
NC,1940,Donny,M,5
TN,1972,Helena,F,5
USA,1998,Travien,M,5
USA,1928,Angele,F,6
NM,1948,Cindy,F,7
USA,2011,Rim,F,7
USA,1990,Chalet,F,6
CO,1992,Curtis,M,31
ME,2013,Jaxson,M,29
KY,1994,Juan,M,8
AZ,1928,Thomas,M,37
WA,2001,Kylee,F,57
OK,1937,Ilene,F,6
OH,1940,Velma,F,31
IL,1999,Shatara,F,5
NY,1983,Talia,F,33
MN,1956,Hans,M,7
USA,1993,Edison,M,50
CA,1970,Kevan,M,5
USA,2000,Nefi,M,9
NY,2018,Jahiem,M,5
USA,2017,Laklyn,F,7
MS,2006,Alijah,M,5
OK,2008,Amber,F,17
NJ,1920,Wesley,M,22
PA,1930,William,M,4759
GA,2012,Jaziyah,F,9
USA,1984,Alesa,F,11
AR,1990,Sean,M,37
OK,2010,Addilynn,F,5
AK,1979,Samantha,F,18
MI,1938,Jon,M,82
WY,1950,Jenny,F,5
USA,1964,Marykay,F,68
USA,1952,Gaylan,M,31
USA,2002,Briea,F,9
USA,1934,Arley,M,43
USA,1990,Tiondra,F,8
FL,2010,Tanner,M,105
OH,1987,Bradley,M,502
VT,1977,Samuel,M,9
NY,2018,Brynlee,F,28
USA,2005,Sanjiv,M,7
LA,1958,Mildred,F,39
WA,1981,Randy,M,67
GA,2016,Alondra,F,25
IL,2001,Easton,M,10
OH,2017,Eowyn,F,6
TX,2004,Triston,M,53
NY,1985,Daniella,F,45
MN,1937,Jimmy,M,6
MD,2012,Brett,M,6
NY,1988,Ericka,F,41
AL,1931,Gay,F,9
NJ,2007,Jahmir,M,17
CO,2006,Lia,F,7
FL,2017,Zachariah,M,39
MI,2013,Grayden,M,6
NC,2014,Melina,F,15
LA,1941,Steve,M,26
IL,2011,Uriel,M,34
FL,1914,Ruby,F,124
USA,1931,Adriana,F,21
WI,1996,Michele,F,5
PR,2001,Santos,M,11
USA,1927,Karma,F,9
IA,1961,Leslie,F,48
NH,1927,Joseph,M,60
TX,1922,Rebecca,F,71
ND,1949,Vicki,F,50
USA,1990,Deziree,F,42
AL,1984,Gavin,M,11
USA,2002,Lakiya,F,22
AR,1939,Susan,F,18
USA,1983,Ilia,F,18
GA,1964,Tyrone,M,34
OH,1982,Anita,F,41
SD,1981,Tiffany,F,42
AR,2005,Jacey,F,12
USA,2010,Kohen,F,6
USA,1880,Tillie,F,83
CA,2017,Reagan,F,259
CA,2016,Yahya,M,19
OH,1981,Orville,M,5
DE,1966,Caroline,F,6
LA,1928,Benjamin,M,30
ID,2007,Markus,M,6
USA,1976,Cyndi,F,37
KS,1971,Jacquelyn,F,6
AR,1969,Clara,F,6
